Voltage(V)	Current(A)
-0.09676	-0.01893256
-0.088615	-0.0189365
-0.08047	-0.01891354
-0.072325	-0.01890898
-0.06418	-0.01890585
-0.056035	-0.01891349
-0.04789	-0.01892782
-0.039745	-0.01894578
-0.0316	-0.01891914
-0.023455	-0.01891157
-0.01531	-0.01892747
-0.00717	-0.01891706
0.000975	-0.01889558
0.00912	-0.01889418
0.017265	-0.01890166
0.02541	-0.01891333
0.033555	-0.01888192
0.0417	-0.01889567
0.049845	-0.01891042
0.05799	-0.01891031
0.066135	-0.01890686
0.07428	-0.01889447
0.082425	-0.01889272
0.09057	-0.01889922
0.098715	-0.01888602
0.10686	-0.0188879
0.115005	-0.01890149
0.12315	-0.01889625
0.131295	-0.01888952
0.13944	-0.01889045
0.147585	-0.01889121
0.15573	-0.01888805
0.163875	-0.01889632
0.17202	-0.01887949
0.180165	-0.01887728
0.18831	-0.01888271
0.196455	-0.01889438
0.2046	-0.01889392
0.21275	-0.01888648
0.2209	-0.01888231
0.22905	-0.01887891
0.2372	-0.01884664
0.24535	-0.0188814
0.25345	-0.01886461
0.2616	-0.01885447
0.26975	-0.01885491
0.2779	-0.01883984
0.28605	-0.01883504
0.2942	-0.01884688
0.30235	-0.01884737
0.3105	-0.01882827
0.31865	-0.01882554
0.3268	-0.01881872
0.3349	-0.01880538
0.34305	-0.01880951
0.3512	-0.01881349
0.35935	-0.01879932
0.3675	-0.01879677
0.37565	-0.01877726
0.3838	-0.01876047
0.39195	-0.01875829
0.4001	-0.01872968
0.4082	-0.01874169
0.41635	-0.01873814
0.4245	-0.01871457
0.43265	-0.01868643
0.4408	-0.0186618
0.44895	-0.01862271
0.4571	-0.01862006
0.46525	-0.01860857
0.4734	-0.01854946
0.48155	-0.01847689
0.48965	-0.01839093
0.4978	-0.01831531
0.50595	-0.01823525
0.5141	-0.01810321
0.52225	-0.01797038
0.5304	-0.0177619
0.53855	-0.01750488
0.5467	-0.01722419
0.55485	-0.01685949
0.563	-0.01640388
0.5711	-0.01584753
0.57925	-0.01512653
0.5874	-0.01426648
0.59555	-0.01320228
0.6037	-0.01190505
0.61185	-0.01033662
0.62	-0.008410896
0.62815	-0.006101059
0.6363	-0.003350583
0.64445	-6.786991e-05
0.65255	0.003795921
0.6607	0.008359646
0.66885	0.01372643
0.677	0.0200172
0.68515	0.02230486
0.6933	0.02230493
0.70145	0.02230486
