Voltage(V)	Current(A)
-0.087335	-0.003335456
-0.07998	-0.003335705
-0.07263	-0.003334625
-0.06528	-0.003336024
-0.05793	-0.003331513
-0.050575	-0.003332464
-0.043225	-0.003331949
-0.035875	-0.003329404
-0.028525	-0.003329478
-0.02117	-0.003327857
-0.01382	-0.003327567
-0.00647	-0.003328021
0.00088	-0.003327579
0.008235	-0.00332597
0.015585	-0.003325086
0.022935	-0.00332281
0.030285	-0.003323528
0.03764	-0.003322345
0.04499	-0.003323797
0.05234	-0.003323843
0.05969	-0.003326168
0.067045	-0.003325965
0.074395	-0.003326155
0.081745	-0.00332956
0.0891	-0.003326908
0.09645	-0.003322298
0.1038	-0.00331888
0.11115	-0.00331819
0.118505	-0.003317409
0.125855	-0.003323068
0.133205	-0.003318521
0.140555	-0.003316002
0.14791	-0.003315409
0.15526	-0.00330977
0.16261	-0.003298438
0.16996	-0.003296326
0.177315	-0.003294349
0.184665	-0.00329368
0.192015	-0.003294606
0.199365	-0.003295201
0.20672	-0.003296275
0.21405	-0.003299638
0.2214	-0.003303518
0.22875	-0.003301117
0.2361	-0.003301216
0.24345	-0.003297944
0.25085	-0.003294242
0.2582	-0.003289113
0.26555	-0.003289723
0.2729	-0.003289857
0.28025	-0.003287308
0.2876	-0.003288035
0.29495	-0.003287584
0.3023	-0.003286444
0.30965	-0.003280623
0.317	-0.003276234
0.32435	-0.003274998
0.3317	-0.003271113
0.33905	-0.00326783
0.3464	-0.003267072
0.35375	-0.003263164
0.3611	-0.003260162
0.36845	-0.003254401
0.3758	-0.003250743
0.38315	-0.003244432
0.3905	-0.003239475
0.39785	-0.003235095
0.4052	-0.003226123
0.41255	-0.003217039
0.4199	-0.003209491
0.42725	-0.0031972
0.4346	-0.003184498
0.44195	-0.003172115
0.4493	-0.003155841
0.45665	-0.00313727
0.464	-0.003112321
0.47135	-0.003080999
0.4787	-0.003043868
0.48605	-0.003003787
0.4934	-0.002946887
0.50075	-0.002890185
0.5081	-0.002821906
0.51545	-0.002730782
0.5228	-0.002621413
0.53015	-0.002485316
0.53755	-0.002312266
0.5449	-0.002099063
0.55225	-0.00183609
0.5596	-0.001515075
0.56695	-0.001118177
0.5743	-0.0006285002
0.58165	-3.542433e-05
0.589	0.0006886669
0.59635	0.00154653
0.6037	0.002592313
0.61105	0.003849077
0.6184	0.005343682
0.62575	0.007120071
0.6331	0.009218876
